id,run/V,chi_nsubj|chi_obl:agent
run/fic_1922_1553_cleaned_part1.txt/187,['run/V'],['father/nmod:poss']
run/fic_1917_14288_cleaned_part16.txt/26,['run/V'],['who/nsubj']
run/fic_1922_2927_cleaned_part12.txt/26,['run/V'],['boy/amod']
run/fic_1911_14612_cleaned_part31.txt/3,['run/V'],['donna/nsubj']
run/fic_1926_16245_cleaned_part18.txt/12,['run/V'],['people/nsubj']
run/fic_1915_3458_cleaned_part28.txt/7,['run/V'],['that/nsubj']
run/fic_1911_3312_cleaned_part25.txt/18,['run/V'],['tear/nmod:poss']
run/fic_1916_2505_cleaned_part22.txt/58,['run/V'],['everybody/nsubj']
run/fic_1920_5739_cleaned_part5.txt/93,['run/V'],['thirty/nsubj']
run/fic_1917_2737_cleaned_part33.txt/7,['run/V'],['lydia/nsubj']
run/fic_1920_5739_cleaned_part11.txt/22,['run/V'],['miss/amod']
run/fic_1922_2524_cleaned_part44.txt/49,['run/V'],['cum/nsubj']
run/fic_1922_2927_cleaned_part49.txt/153,['run/V'],['who/nsubj']
run/fic_1921_2683_cleaned_part44.txt/80,['run/V'],['money/nmod:poss']
run/fic_1911_3312_cleaned_part54.txt/5,['run/V'],"['minnie/nsubj', 'illustration/nsubj']"
run/fic_1912_1815_cleaned_part36.txt/73,['run/V'],['foot/nmod:poss']
run/fic_1916_2505_cleaned_part53.txt/12,['run/V'],['mr.-/nsubj']
run/fic_1916_2505_cleaned_part54.txt/8,['run/V'],['one/det']
run/fic_1922_2524_cleaned_part66.txt/34,['run/V'],['blood/nmod:poss']
run/fic_1912_3410_cleaned_part51.txt/74,['run/V'],['mind/nmod:poss']
run/fic_1912_3410_cleaned_part52.txt/92,['run/V'],['mind/nmod:poss']
run/fic_1918_992_cleaned_part42.txt/94,['run/V'],['who/nsubj']
run/fic_1928_14367_cleaned_part59.txt/4,['run/V'],['god/nsubj']
run/fic_1926_16245_cleaned_part117.txt/79,['run/V'],['29x/nsubj']
run/fic_1922_4408_cleaned_part78.txt/88,['run/V'],['garden/nmod:poss']
run/fic_1929_16406_cleaned_part74.txt/4,['run/V'],['missy/nsubj']
run/fic_1911_2981_cleaned_part90.txt/84,['run/V'],['tuttle/nsubj']
